month_of_delay,datetime,hbt,hbtqf,age_group,age_group_qf,reason_for_delay,reason_for_delay_qf,number_of_delayed_bed_days,average_daily_number_of_delayed_beds
201804,2018-04-01,S08000015,NA,18plus,d,All Delay Reasons,d,3085,103
201804,2018-04-01,S08000015,NA,18plus,d,Code 9 Reasons,NA,753,25
201804,2018-04-01,S08000015,NA,18plus,d,Health and Social Care Reasons,NA,2332,78
201804,2018-04-01,S08000015,NA,18plus,d,Patient and Family Related Reasons,NA,0,0
201804,2018-04-01,S08000015,NA,18-74,NA,All Delay Reasons,d,629,21
201804,2018-04-01,S08000015,NA,18-74,NA,Code 9 Reasons,NA,122,4
201804,2018-04-01,S08000015,NA,18-74,NA,Health and Social Care Reasons,NA,507,17
201804,2018-04-01,S08000015,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201804,2018-04-01,S08000015,NA,75plus,NA,All Delay Reasons,d,2456,82
201804,2018-04-01,S08000015,NA,75plus,NA,Code 9 Reasons,NA,631,21
201804,2018-04-01,S08000015,NA,75plus,NA,Health and Social Care Reasons,NA,1825,61
201804,2018-04-01,S08000015,NA,75plus,NA,Patient and Family Related Reasons,NA,0,0
201804,2018-04-01,S08000016,NA,18plus,d,All Delay Reasons,d,1005,34
201804,2018-04-01,S08000016,NA,18plus,d,Code 9 Reasons,NA,283,9
201804,2018-04-01,S08000016,NA,18plus,d,Health and Social Care Reasons,NA,638,21
201804,2018-04-01,S08000016,NA,18plus,d,Patient and Family Related Reasons,NA,84,3
201804,2018-04-01,S08000016,NA,18-74,NA,All Delay Reasons,d,271,9
201804,2018-04-01,S08000016,NA,18-74,NA,Code 9 Reasons,NA,124,4
201804,2018-04-01,S08000016,NA,18-74,NA,Health and Social Care Reasons,NA,112,4
201804,2018-04-01,S08000016,NA,18-74,NA,Patient and Family Related Reasons,NA,35,1
201804,2018-04-01,S08000016,NA,75plus,NA,All Delay Reasons,d,734,24
201804,2018-04-01,S08000016,NA,75plus,NA,Code 9 Reasons,NA,159,5
201804,2018-04-01,S08000016,NA,75plus,NA,Health and Social Care Reasons,NA,526,18
201804,2018-04-01,S08000016,NA,75plus,NA,Patient and Family Related Reasons,NA,49,2
201804,2018-04-01,S08000017,NA,18plus,d,All Delay Reasons,d,940,31
201804,2018-04-01,S08000017,NA,18plus,d,Code 9 Reasons,NA,190,6
201804,2018-04-01,S08000017,NA,18plus,d,Health and Social Care Reasons,NA,705,24
201804,2018-04-01,S08000017,NA,18plus,d,Patient and Family Related Reasons,NA,45,2
201804,2018-04-01,S08000017,NA,18-74,NA,All Delay Reasons,d,255,9
201804,2018-04-01,S08000017,NA,18-74,NA,Code 9 Reasons,NA,90,3
201804,2018-04-01,S08000017,NA,18-74,NA,Health and Social Care Reasons,NA,165,6
201804,2018-04-01,S08000017,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201804,2018-04-01,S08000017,NA,75plus,NA,All Delay Reasons,d,685,23
201804,2018-04-01,S08000017,NA,75plus,NA,Code 9 Reasons,NA,100,3
201804,2018-04-01,S08000017,NA,75plus,NA,Health and Social Care Reasons,NA,540,18
201804,2018-04-01,S08000017,NA,75plus,NA,Patient and Family Related Reasons,NA,45,2
201804,2018-04-01,S08000019,NA,18plus,d,All Delay Reasons,d,2584,86
201804,2018-04-01,S08000019,NA,18plus,d,Code 9 Reasons,NA,989,33
201804,2018-04-01,S08000019,NA,18plus,d,Health and Social Care Reasons,NA,1308,44
201804,2018-04-01,S08000019,NA,18plus,d,Patient and Family Related Reasons,NA,287,10
201804,2018-04-01,S08000019,NA,18-74,NA,All Delay Reasons,d,758,25
201804,2018-04-01,S08000019,NA,18-74,NA,Code 9 Reasons,NA,371,12
201804,2018-04-01,S08000019,NA,18-74,NA,Health and Social Care Reasons,NA,324,11
201804,2018-04-01,S08000019,NA,18-74,NA,Patient and Family Related Reasons,NA,63,2
201804,2018-04-01,S08000019,NA,75plus,NA,All Delay Reasons,d,1826,61
201804,2018-04-01,S08000019,NA,75plus,NA,Code 9 Reasons,NA,618,21
201804,2018-04-01,S08000019,NA,75plus,NA,Health and Social Care Reasons,NA,984,33
201804,2018-04-01,S08000019,NA,75plus,NA,Patient and Family Related Reasons,NA,224,7
201804,2018-04-01,S08000020,NA,18plus,d,All Delay Reasons,d,3716,124
201804,2018-04-01,S08000020,NA,18plus,d,Code 9 Reasons,NA,557,19
201804,2018-04-01,S08000020,NA,18plus,d,Health and Social Care Reasons,NA,3003,100
201804,2018-04-01,S08000020,NA,18plus,d,Patient and Family Related Reasons,NA,156,5
201804,2018-04-01,S08000020,NA,18-74,NA,All Delay Reasons,d,981,33
201804,2018-04-01,S08000020,NA,18-74,NA,Code 9 Reasons,NA,271,9
201804,2018-04-01,S08000020,NA,18-74,NA,Health and Social Care Reasons,NA,668,22
201804,2018-04-01,S08000020,NA,18-74,NA,Patient and Family Related Reasons,NA,42,1
201804,2018-04-01,S08000020,NA,75plus,NA,All Delay Reasons,d,2735,91
201804,2018-04-01,S08000020,NA,75plus,NA,Code 9 Reasons,NA,286,10
201804,2018-04-01,S08000020,NA,75plus,NA,Health and Social Care Reasons,NA,2335,78
201804,2018-04-01,S08000020,NA,75plus,NA,Patient and Family Related Reasons,NA,114,4
201804,2018-04-01,S08000022,NA,18plus,d,All Delay Reasons,d,3242,108
201804,2018-04-01,S08000022,NA,18plus,d,Code 9 Reasons,NA,634,21
201804,2018-04-01,S08000022,NA,18plus,d,Health and Social Care Reasons,NA,2573,86
201804,2018-04-01,S08000022,NA,18plus,d,Patient and Family Related Reasons,NA,35,1
201804,2018-04-01,S08000022,NA,18-74,NA,All Delay Reasons,d,960,32
201804,2018-04-01,S08000022,NA,18-74,NA,Code 9 Reasons,NA,256,9
201804,2018-04-01,S08000022,NA,18-74,NA,Health and Social Care Reasons,NA,699,23
201804,2018-04-01,S08000022,NA,18-74,NA,Patient and Family Related Reasons,NA,5,0
201804,2018-04-01,S08000022,NA,75plus,NA,All Delay Reasons,d,2282,76
201804,2018-04-01,S08000022,NA,75plus,NA,Code 9 Reasons,NA,378,13
201804,2018-04-01,S08000022,NA,75plus,NA,Health and Social Care Reasons,NA,1874,62
201804,2018-04-01,S08000022,NA,75plus,NA,Patient and Family Related Reasons,NA,30,1
201804,2018-04-01,S08000024,NA,18plus,d,All Delay Reasons,d,11589,386
201804,2018-04-01,S08000024,NA,18plus,d,Code 9 Reasons,NA,699,23
201804,2018-04-01,S08000024,NA,18plus,d,Health and Social Care Reasons,NA,10810,360
201804,2018-04-01,S08000024,NA,18plus,d,Patient and Family Related Reasons,NA,80,3
201804,2018-04-01,S08000024,NA,18-74,NA,All Delay Reasons,d,3213,107
201804,2018-04-01,S08000024,NA,18-74,NA,Code 9 Reasons,NA,308,10
201804,2018-04-01,S08000024,NA,18-74,NA,Health and Social Care Reasons,NA,2842,95
201804,2018-04-01,S08000024,NA,18-74,NA,Patient and Family Related Reasons,NA,63,2
201804,2018-04-01,S08000024,NA,75plus,NA,All Delay Reasons,d,8376,279
201804,2018-04-01,S08000024,NA,75plus,NA,Code 9 Reasons,NA,391,13
201804,2018-04-01,S08000024,NA,75plus,NA,Health and Social Care Reasons,NA,7968,266
201804,2018-04-01,S08000024,NA,75plus,NA,Patient and Family Related Reasons,NA,17,1
201804,2018-04-01,S08000025,NA,18plus,d,All Delay Reasons,d,30,1
201804,2018-04-01,S08000025,NA,18plus,d,Code 9 Reasons,NA,30,1
201804,2018-04-01,S08000025,NA,18plus,d,Health and Social Care Reasons,NA,0,0
201804,2018-04-01,S08000025,NA,18plus,d,Patient and Family Related Reasons,NA,0,0
