id,location,location_name,postcode,address_line,hb,hscp,hscpqf,ca,caqf,int_zone,int_zone_qf,data_zone,data_zone_qf,x_coordinate,y_coordinate,based_on_postcode
1,A101H,Arran War Memorial Hospital,KA27 8LF,"Lamlash, Isle of Arran",S08000015,S37000020,NA,S12000021,NA,S02002097,NA,S01011176,NA,203533,632121,NA
2,A103H,Ayrshire Central Hospital,KA12 8SS,"Kilwinning Road, Irvine",S08000015,S37000020,NA,S12000021,NA,S02002105,NA,S01011213,NA,231514,641144,NA
3,A105H,Kirklandside Hospital,KA1 5LH,"Kirklandside, Kilmarnock, Ayrshire",S08000015,S37000008,NA,S12000008,NA,S02001492,NA,S01007961,NA,244240.02,636263.4,NA
4,A110H,Lady Margaret Hospital,KA28 0HF,"College St, Millport, Isle of Cumbrae",S08000015,S37000020,NA,S12000021,NA,S02002128,NA,S01011328,NA,216713,655863,NA
5,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",S08000015,S37000008,NA,S12000008,NA,S02001504,NA,S01008027,NA,240159.8,638520.4,NA
6,A112H,Brooksby Day Hospital,KA30 8NE,"18 Greenock Road, Largs",S08000015,S37000020,NA,S12000021,NA,S02002129,NA,S01011329,NA,220335,659862,Yes
7,A114H,Warrix Avenue Mental Health Community Rehabilitation Unit,KA12 0DP,"Warrix Avenue, Irvine",S08000015,S37000020,NA,S12000021,NA,S02002109,NA,S01011229,NA,232545,638575,Yes
8,A201H,Ailsa Hospital,KA6 6AB,"Dalmellington Road, Ayr",S08000015,S37000027,NA,S12000028,NA,S02002333,NA,S01012444,NA,236032,618646,NA
9,A202E,Maybole Day Hospital,KA19 7BY,"6 High Street, Maybole",S08000015,S37000027,NA,S12000028,NA,S02002332,NA,S01012439,NA,230096,610018,Yes
10,A208H,Biggart Hospital,KA9 2HQ,"Biggart Road, Prestwick",S08000015,S37000027,NA,S12000028,NA,S02002347,NA,S01012529,NA,235532,625171,NA
11,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",S08000015,S37000027,NA,S12000028,NA,S02002333,NA,S01012444,NA,235861,618224,NA
12,A211H,Arrol Park Resource Centre,KA7 4DW,"10 Doonfoot Road, Ayr",S08000015,S37000027,NA,S12000028,NA,S02002335,NA,S01012451,NA,233146,620423,NA
13,A214H,Three Towns Resource Centre,KA21 5RF,"Nelson Road, Saltcoats",S08000015,S37000020,NA,S12000021,NA,S02002111,NA,S01011237,NA,225677,641933,NA
14,A215H,East Ayrshire Community Hospital,KA18 1EF,"Ayr Road, Cumnock",S08000015,S37000008,NA,S12000008,NA,S02001484,NA,S01007918,NA,256352,619976,NA
15,A216H,Girvan Community Hospital,KA26 9HQ,"Bridgemill, Girvan, Ayrshire",S08000015,S37000027,NA,S12000028,NA,S02002331,NA,S01012433,NA,219127,598598,NA
