quarter,season,quarter_year,quarters,quarter_qf,hb.x,hbqf,location,location_qf,specialty,specialty_qf,specialty_name,specialty_name_qf,available_staffed_beds,all_staffed_beds_qf,total_occupied_beds,total_occupied_beds_qf,average_available_staffed_beds,average_available_staffed_beds_qf,average_occupied_beds,average_occupied_beds_qf,percentage_occupancy,percentage_occupancy_qf,id,location_name,postcode
2018Q1,Spring,2018,Q1,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15681,NA,11871,NA,174,NA,132,NA,76,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q2,Summer,2018,Q2,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15817,NA,12349,NA,174,NA,136,NA,78,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q3,Autumn,2018,Q3,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15806,NA,12390,NA,172,NA,135,NA,78,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q4,Winter,2018,Q4,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,14852,NA,11765,NA,161,NA,128,NA,79,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q1,Spring,2019,Q1,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,14783,NA,11654,NA,164,NA,129,NA,79,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q2,Summer,2019,Q2,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,14929,NA,11897,NA,164,NA,131,NA,80,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q3,Autumn,2019,Q3,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15392,NA,12067,NA,167,NA,131,NA,78,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q4,Winter,2019,Q4,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15603,NA,11659,NA,170,NA,127,NA,75,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q1,Spring,2020,Q1,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,14896,NA,10915,NA,164,NA,120,NA,73,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q2,Summer,2020,Q2,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,14366,NA,8101,NA,158,NA,89,NA,56,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q3,Autumn,2020,Q3,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15442,NA,9934,NA,168,NA,108,NA,64,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q4,Winter,2020,Q4,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15665,NA,11164,NA,170,NA,121,NA,71,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q1,Spring,2021,Q1,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,16547,NA,12060,NA,184,NA,134,NA,73,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q2,Summer,2021,Q2,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,16159,NA,12269,NA,178,NA,135,NA,76,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q3,Autumn,2021,Q3,p,SB0801,NA,D102H,NA,NA,z,All Acute,d,16897,NA,12029,NA,184,NA,131,NA,71,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q1,Spring,2018,Q1,NA,SB0801,NA,D102H,NA,NA,z,All Specialties,d,15681,NA,11871,NA,174,NA,132,NA,76,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q2,Summer,2018,Q2,NA,SB0801,NA,D102H,NA,NA,z,All Specialties,d,15817,NA,12349,NA,174,NA,136,NA,78,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q3,Autumn,2018,Q3,NA,SB0801,NA,D102H,NA,NA,z,All Specialties,d,15806,NA,12390,NA,172,NA,135,NA,78,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q4,Winter,2018,Q4,NA,SB0801,NA,D102H,NA,NA,z,All Specialties,d,14852,NA,11765,NA,161,NA,128,NA,79,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q1,Spring,2019,Q1,NA,SB0801,NA,D102H,NA,NA,z,All Specialties,d,14783,NA,11654,NA,164,NA,129,NA,79,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q2,Summer,2019,Q2,NA,SB0801,NA,D102H,NA,NA,z,All Specialties,d,14929,NA,11897,NA,164,NA,131,NA,80,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q3,Autumn,2019,Q3,NA,SB0801,NA,D102H,NA,NA,z,All Specialties,d,15392,NA,12067,NA,167,NA,131,NA,78,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q4,Winter,2019,Q4,NA,SB0801,NA,D102H,NA,NA,z,All Specialties,d,15603,NA,11659,NA,170,NA,127,NA,75,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q1,Spring,2020,Q1,NA,SB0801,NA,D102H,NA,NA,z,All Specialties,d,14896,NA,10915,NA,164,NA,120,NA,73,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q2,Summer,2020,Q2,NA,SB0801,NA,D102H,NA,NA,z,All Specialties,d,14417,NA,8152,NA,158,NA,90,NA,57,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q3,Autumn,2020,Q3,NA,SB0801,NA,D102H,NA,NA,z,All Specialties,d,15524,NA,10016,NA,169,NA,109,NA,65,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q4,Winter,2020,Q4,NA,SB0801,NA,D102H,NA,NA,z,All Specialties,d,15756,NA,11255,NA,171,NA,122,NA,71,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q1,Spring,2021,Q1,NA,SB0801,NA,D102H,NA,NA,z,All Specialties,d,16637,NA,12150,NA,185,NA,135,NA,73,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q2,Summer,2021,Q2,NA,SB0801,NA,D102H,NA,NA,z,All Specialties,d,16240,NA,12350,NA,178,NA,136,NA,76,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q3,Autumn,2021,Q3,p,SB0801,NA,D102H,NA,NA,z,All Specialties,d,16931,NA,12063,NA,184,NA,131,NA,71,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q2,Summer,2020,Q2,NA,SB0801,NA,D102H,NA,C3,NA,Anaesthetics,NA,56,NA,56,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q4,Winter,2020,Q4,NA,SB0801,NA,D102H,NA,C3,NA,Anaesthetics,NA,17,NA,17,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
